STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
47;VII.6.Đạo đức nghề nghiệp trong môi trường số;VII.6;Theo Chiến lược dữ liệu ngành Ngân hàng đến năm 2030, việc thu thập và chia sẻ dữ liệu số trong ngành Ngân hàng phải tôn trọng yếu tố nào sau đây?;Lợi ích tối đa của ngân hàng. ;Quyền của chủ sở hữu dữ liệu. ;Ý kiến của cán bộ quản trị hệ thống. ;Tất cả các xu hướng công nghệ mới nhất được triển khai.;B;Chiến lược dữ liệu ngành Ngân hàng đến năm 2030 (Quyết định số 3580/QĐ-NHNN ngày 03/11/2025);Mục III, Khoản 5 (Nguyên tắc Quyền sở hữu và bảo mật);;;;;;;;;;;;;;;
48;VII.6.Đạo đức nghề nghiệp trong môi trường số;VII.6;"Theo chuẩn mực ""Sự liêm chính"" của Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng, cán bộ ngân hàng KHÔNG được thực hiện hành vi nào trên môi trường số? ";Bảo vệ tài sản và lợi ích hợp pháp của tổ chức. ;Báo cáo kịp thời khi phát hiện hành vi vi phạm. ;Minh bạch trong các mối quan hệ liên quan đến tiền bạc.;Lợi dụng địa vị, thông tin bí mật để thu lợi cá nhân. ;D;Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng (Ban hành kèm theo Quyết định số 11/QĐ-HHNH ngày 25/02/2019 của Hội đồng Hiệp hội Ngân hàng Việt Nam);Điều 4, Khoản 3 và Điều 5, Khoản 1, điểm b ;;;;;;;;;;;;;;;
49;VII.6.Đạo đức nghề nghiệp trong môi trường số;VII.6;"Chuẩn mực ""Sự tận tâm và chuyên cần"" của Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng yêu cầu cán bộ ngân hàng làm gì để thích ứng với chuyển đổi số? ";Làm việc theo kinh nghiệm truyền thống, không cần thay đổi. ;Thường xuyên học hỏi, nâng cao kiến thức và tinh thông nghiệp vụ. ;Thực hiện những nhiệm vụ đơn giản, ít rủi ro công nghệ. ;Xử lý công việc phụ thuộc hoàn toàn vào hệ thống tự động.;B;Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng (Ban hành kèm theo Quyết định số 11/QĐ-HHNH ngày 25/02/2019 của Hội đồng Hiệp hội Ngân hàng Việt Nam);Điều 4, Khoản 4, điểm b ;;;;;;;;;;;;;;;
50;VII.6.Đạo đức nghề nghiệp trong môi trường số;VII.6;"Hành vi nào sau đây vi phạm chuẩn mực ""Tính chủ động, sáng tạo, thích ứng"" của Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng trong bối cảnh ngân hàng số?";Bảo thủ, cứng nhắc, gây cản trở cho đổi mới, sáng tạo. ;Không ngừng cải tiến phương pháp làm việc. ;Rèn luyện khả năng thích ứng trước sự thay đổi của môi trường. ;Tự giác nghiên cứu và ứng dụng công nghệ mới.;A;Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng (Ban hành kèm theo Quyết định số 11/QĐ-HHNH ngày 25/02/2019 của Hội đồng Hiệp hội Ngân hàng Việt Nam);Điều 4, Khoản 5, điểm b ;;;;;;;;;;;;;;;
1;VIII.1.Rò rỉ dữ liệu khách hàng;VIII.1. Rò rỉ dữ liệu khách hàng;Theo Luật số 91/2025/QH15, dữ liệu nào sau đây được phân loại là dữ liệu cá nhân nhạy cảm?;Họ tên, ngày tháng năm sinh;Địa chỉ nơi ở, số điện thoại;Tên đăng nhập, mật khẩu truy cập của tài khoản ngân hàng;Ảnh chân dung, biển số xe;C;"Điều 2, Luật 91/2025/QH15,
 Điều 4, Nghị định 356/2025/NĐ-CP";;;;;;;;;;;;;;;;
2;VIII.1.Rò rỉ dữ liệu khách hàng;VIII.1. Rò rỉ dữ liệu khách hàng;Khi phát hiện vi phạm quy định về bảo vệ dữ liệu cá nhân có thể gây tổn hại đến quốc phòng, an ninh quốc gia, tổ chức phải thông báo cho cơ quan chuyên trách trong thời hạn bao lâu?;24 giờ;48 giờ;72 giờ;07 ngày làm việc;C;Điều 23, Luật 91/2025/QH15;;;;;;;;;;;;;;;;
3;VIII.1.Rò rỉ dữ liệu khách hàng;VIII.1. Rò rỉ dữ liệu khách hàng;Cơ quan chuyên trách bảo vệ dữ liệu cá nhân thuộc quản lý của cơ quan nào sau đây?;Cục An toàn thông tin (Bộ TT&TT);Bộ Công an;Ngân hàng Nhà nước;Thanh tra Chính phủ;B;Điều 33, Luật 91/2025/QH15;;;;;;;;;;;;;;;;
4;VIII.1.Rò rỉ dữ liệu khách hàng;VIII.1. Rò rỉ dữ liệu khách hàng;Theo Luật bảo vệ dữ liệu cá nhân, hành vi nào dưới đây là hành vi bị cấm?;Lưu trữ dữ liệu trên Cloud có mã hóa;Mua bán, trao đổi dữ liệu cá nhân khi chưa có sự đồng ý của chủ thể;Xóa dữ liệu khách hàng theo yêu cầu;Gửi email thông báo cho khách hàng;B;Điều 7, Luật 91/2025/QH15;;;;;;;;;;;;;;;;
5;VIII.1.Rò rỉ dữ liệu khách hàng;VIII.1. Rò rỉ dữ liệu khách hàng;Theo Luật bảo vệ dữ liệu cá nhân, việc xử lý dữ liệu cá nhân của trẻ em từ đủ 7 tuổi trở lên cần sự đồng ý của ai?;Chỉ cần trẻ em đó;Người đại diện theo pháp luật;Cả trẻ em đó và người đại diện theo pháp luật;Không cần sự đồng ý;C;Điều 24, Luật 91/2025/QH15;;;;;;;;;;;;;;;;
6;VIII.1.Rò rỉ dữ liệu khách hàng;VIII.1. Rò rỉ dữ liệu khách hàng;Khi nhận được yêu cầu xóa dữ liệu cá nhân từ chủ thể dữ liệu, Bên kiểm soát dữ liệu phải phản hồi trong thời hạn bao lâu?;24 giờ;10 ngày làm việc;05 ngày làm việc;02 ngày làm việc;D;Điều 5, Nghị định 356/2025/NĐ-CP;;;;;;;;;;;;;;;;
7;VIII.1.Rò rỉ dữ liệu khách hàng;VIII.1. Rò rỉ dữ liệu khách hàng;Nhân sự bảo vệ dữ liệu cá nhân trong cơ quan, tổ chức phải đáp ứng điều kiện nào về trình độ và kinh nghiệm?;Trình độ Đại học và 01 năm kinh nghiệm;Chỉ cần chứng chỉ bồi dưỡng;Trình độ trung cấp và 03 năm kinh nghiệm;Trình độ cao đẳng trở lên và 02 năm kinh nghiệm;D;Điều 13, Nghị định 356/2025/NĐ-CP;;;;;;;;;;;;;;;;
8;VIII.1.Rò rỉ dữ liệu khách hàng;VIII.1. Rò rỉ dữ liệu khách hàng;Trong trường hợp chuyển dữ liệu cá nhân xuyên biên giới, hồ sơ đánh giá tác động phải được nộp về cơ quan chuyên trách trong thời hạn bao lâu kể từ ngày tiến hành?;30 ngày;45 ngày;60 ngày;90 ngày;C;Điều 18, Nghị định 356/2025/NĐ-CP;;;;;;;;;;;;;;;;
9;VIII.2.Số hóa quy trình nội bộ;VIII.2. Số hóa quy trình nội bộ;Theo quan điểm chỉ đạo tại Chương trình Chuyển đổi số quốc gia (Quyết định số 749/QĐ-TTg), nhận thức đóng vai trò quyết định trong chuyển đổi số. Dựa trên quan điểm này, một cơ quan, tổ chức có thể tiến hành chuyển đổi số ngay thông qua hành động nào sau đây?;Giữ nguyên các bước quy trình giấy lên hệ thống máy tính.;Đầu tư phần mềm đắt tiền nhất, bỏ qua đào tạo nhân sự.;Sử dụng nguồn lực, hệ thống kỹ thuật sẵn có để số hóa toàn bộ tài sản thông tin của mình, tái cấu trúc quy trình nghiệp vụ, cơ cấu tổ chức và chuyển đổi các mối quan hệ từ môi trường truyền thống sang môi trường số;Khối công nghệ (IT) chịu trách nhiệm triển kha, các khối nghiệp vụ không cần tham gia.;C;Quyết định số 749/QĐ-TTg ngày 03/6/2020;Mục III, điểm 1;;;;;;;;;;;;;;;
10;VIII.2.Số hóa quy trình nội bộ;VIII.2. Số hóa quy trình nội bộ;"

Theo Quyết định số 749/QĐ-TT Chương trình Chuyển đổi số quốc gia đến năm 2025, định hướng đến năm 2030, đâu là một trong những nhiệm vụ được đặt ra đối với việc phát triển Chính phủ số ";Chuẩn hóa, điện tử hóa quy trình nghiệp vụ xử lý hồ sơ trên môi trường mạng, biểu mẫu, chế độ báo cáo;Xây dựng các nền tảng số phục vụ đô thị thông minh và phát triển kinh tế số địa phương;Đẩy mạnh cung cấp dịch vụ công trực tuyến mức độ cao mà không cần thay đổi quy trình nội bộ hiện có;Tái cấu trúc toàn bộ hệ thống CNTT theo hướng tập trung, thay thế các hệ thống hiện hữu bằng một nền tảng duy nhất;A;Quyết định số 749/QĐ-TTg ngày 03/6/2020;Điều 1, mục V khoản 7;;;;;;;;;;;;;;;
11;VIII.2.Số hóa quy trình nội bộ;VIII.2. Số hóa quy trình nội bộ;Theo Nghị định 278/2025/NĐ-CP, việc giám sát hoạt động xử lý dữ liệu cần tuân theo nguyên tắc nào sau đây?;Hoạt động kết nối, chia sẻ dữ liệu bắt buộc giữa các cơ quan trong hệ thống chính trị phải được giám sát liên tục, công khai và có truy vết;Việc giám sát được thực hiện thông qua hệ thống kỹ thuật và cơ chế quản lý do cơ quan nhà nước có thẩm quyền quy định;Việc xử lý vi phạm phải bảo đảm khách quan, minh bạch, đúng thẩm quyền và tương xứng với tính chất, mức độ vi phạm.;Tất cả đáp án trên đều đúng;D;Nghị định 278/2025/NĐ-CP;Điều 13.1;;;;;;;;;;;;;;;
12;VIII.3.Kịch bản chuyển đổi số tại chi nhánh;VIII.3. Kịch bản CĐS tại chi nhánh;Một chi nhánh ngân hàng đã đầu tư hệ thống máy giao dịch tự động (Kiosk) và ứng dụng di động, nhưng người dân vẫn ưu tiên đến giao dịch trực tiếp tại quầy. Đánh giá vấn đề này dưới góc độ quan điểm chỉ đạo tại Chương trình Chuyển đổi số quốc gia đến năm 2025, định hướng đến năm 2030 (Quyết định 749/QĐ-TTg), nhận định nào sau đây chỉ ra nguyên nhân cốt lõi nhất khiến nền tảng số thất bại trong việc thay đổi hành vi người dùng?;"
Do tổ chức chưa áp dụng các biện pháp hành chính cứng rắn nhằm hạn chế và ép buộc người dân ngừng giao dịch tại quầy";"
Do các nền tảng số chưa thực sự lấy ""người dân làm trung tâm"", chưa cung cấp được trải nghiệm tốt nhất, thân thiện và đơn giản nhất. ";"
Do hệ thống máy móc chưa tích hợp đủ các công nghệ phức tạp nhất.
";Khách hàng chưa quen công nghệ;B;Quyết định 749/QĐ-TTg;Mục V;;;;;;;;;;;;;;;
13;VIII.3.Kịch bản chuyển đổi số tại chi nhánh;VIII.3. Kịch bản CĐS tại chi nhánh;Chi nhánh triển khai hệ thống quản lý công việc mới, nhưng nhân viên vẫn dùng Excel cá nhân vì “quen tay”. Theo các quan điểm và nhiệm vụ tại Chương trình Chuyển đổi số quốc gia đến năm 2025, định hướng đến năm 2030 (Quyết định số 749/QĐ-TTg), giải pháp nào sau đây là phù hợp nhất để giải quyết vấn đề trên?;Yêu cầu bắt buộc sử dụng hệ thống, không cần giải thích;Tổ chức đào tạo, nâng cao nhận thức kết hợp với tái cấu trúc quy trình nghiệp vụ để chuyển đổi hoàn toàn phương thức làm việc sang môi trường số;Cho phép song song Excel và hệ thống mới vô thời hạn để tránh gián đoạn;"
Giao phó toàn bộ trách nhiệm cho bộ phận công nghệ thông tin (IT) tự điều chỉnh hệ thống mà không cần các khối nghiệp vụ tham gia thay đổi quy trình";Phương án B;Quyết định 749/QĐ-TTg, Mục III;"Quyết định 749/QĐ-TTg
Mục III – Nhiệm vụ, giải pháp
Nhóm giải pháp:
chuyển đổi nhận thức
tổ chức và thay đổi cách làm việc";;;;;;;;;;;;;;;
14;VIII.3.Kịch bản chuyển đổi số tại chi nhánh;VIII.3. Kịch bản CĐS tại chi nhánh;Một ngân hàng đã đầu tư nguồn ngân sách lớn để mua sắm và triển khai nhiều hệ thống công nghệ số, nhưng hiệu quả vận hành thực tế và chất lượng dịch vụ không có sự cải thiện rõ rệt. Theo các quan điểm chỉ đạo tại Chương trình Chuyển đổi số quốc gia đến năm 2025, định hướng đến năm 2030 (Quyết định số 749/QĐ-TTg), nguyên nhân dẫn đến sự lãng phí và kém hiệu quả này là gì?;"

Chỉ coi chuyển đổi số là việc mua sắm công nghệ đắt tiền mà bỏ qua việc đánh giá sự tương thích của các hệ thống phần mềm với nhau";"

 Chưa áp đặt các chỉ tiêu (KPI) bắt buộc đủ cứng rắn để ép buộc nhân sự và khách hàng phải từ bỏ phương thức giao dịch truyền thống";"

Ứng dụng công nghệ nhưng chưa gắn liền với việc tái cấu trúc quy trình nghiệp vụ và chưa lấy trải nghiệm của khách hàng làm trung tâm";"

Giao phó toàn bộ trách nhiệm đánh giá hiệu quả chuyển đổi số cho đội ngũ nhân viên cấp dưới thay vì ban lãnh đạo";C;"Quyết định 749/QĐ-TTg
 Nghị quyết 57-NQ/TW";"- Quyết định 749/QĐ-TTg
 Mục tiêu: phát triển kinh tế số
 nâng cao hiệu quả hoạt động
 - Nghị quyết 57-NQ/TW
 Mục tiêu: nâng cao hiệu quả quản trị và chất lượng dịch vụ";;;;;;;;;;;;;;;
15;VIII.3.Kịch bản chuyển đổi số tại chi nhánh;VII.3. Kịch bản CĐS tại chi nhánh;"Chi nhánh muốn điều chỉnh quy trình số hóa để phù hợp với đặc thù địa phương (khách hàng lớn tuổi, ít dùng công nghệ). Tuy nhiên, hệ thống được thiết kế theo chuẩn chung toàn hệ thống.
Theo quan điểm và định hướng tại Chương trình Chuyển đổi số quốc gia đến năm 2025, định hướng đến năm 2030 (Quyết định số 749/QĐ-TTg), cách tiếp cận nào sau đây là chuẩn xác nhất để giải quyết tình huống này?";Cho phép chi nhánh tùy biến toàn bộ quy trình theo nhu cầu địa phương;Giữ nguyên toàn bộ quy trình chuẩn, không cho phép thay đổi;"

Tuân thủ kiến trúc nền tảng và dữ liệu tập trung của toàn hệ thống, nhưng kết hợp linh hoạt trong phương thức triển khai và bố trí nhân sự hỗ trợ trực tiếp người dân";Mỗi chi nhánh tự xây dựng quy trình riêng;C;Quyết định 749/QĐ-TTg;"Mục III – Nhiệm vụ, giải pháp
 
 Phát triển:
 nền tảng số dùng chung
 nhưng cho phép triển khai linh hoạt theo thực tế";;;;;;;;;;;;;;;
